osmid,gnis:feature_id,osm_name,google_name,oakland_name,google_rating,google_rating_count,osm_duplicate
27209193,NaN,Dimond Park,Dimond Park,Dimond Park,4.5,1094,
27227987,NaN,Carter Gilmore Sports Complex (Greenman Field),Carter-Gilmore Park - City of Oakland,Carter-Gilmore/Greenman Field,4.5,2,
27293477,NaN,Maxwell Park,Maxwell Park,Maxwell Park,4.4,107,
27856158,NaN,Gateway,Oakland Hills Fire Memorial Park,Firestorm Memorial Garden,4.5,86,
28005004,NaN,Coliseum Gardens Park,Coliseum Gardens,Coliseum Gardens Park,4.1,105,
28011729,NaN,Henry J. Kaiser Memorial Park,Henry J. Kaiser Memorial Park,Henery J. Kaiser Memorial Park (Remember Them: Champions For Humanity Monument),4.4,118,
28181876,1676006,Colby Park,Colby Park,Colby Park,4.4,70,
28326514,230942,Poplar Recreation Area,Poplar Park,Poplar Park,3.9,32,
28339205,NaN,NaN,Martin Luther King Jr. Regional Shoreline,NaN,4.5,1226,
30126317,222396,Dimond Canyon Park,El Centro Trailhead (Dimond Canyon),Dimond Park,4.5,53,
31065435,NaN,McCrea Park,McCrea Memorial Park,McCrea Park,4.4,96,
31083498,NaN,South Prescott Park,Lower Bottoms Park,South Prescott Park,4.3,114,
32520513,1693036,Mandana Plaza,Mandana Plaza Park,Mandana Plaza Park,4.2,56,
34957805,1693018,Clinton Square,Clinton Square,Clinton Square Park,3,18,
34958589,NaN,Franklin Square,NaN,Franklin Plaza,NaN,0,
35589864,1661754,Preservation Park,Preservation Park,NaN,4.5,266,
37017752,NaN,Rockridge-Temescal Greenbelt,Rockridge-Temescal Greenbelt,Rockridge-Temescal Greenbelt (FROG Park),4.4,449,
37023536,NaN,NaN,Jasper P. Driver Plaza,Driver [Jasper P.] Plaza,5,1,
37029317,NaN,Helen McGregor Plaza Park,Helen MacGregor Plaza,Helen McGregor Plaza Park,5,1,
42006398,NaN,Brookfield Village Park,"William ""Bill"" Patterson Park","William ""Bill"" Patterson Park",4.3,261,
43985332,1692943,Stonehurst Recreation Area,Stonehurst Recreation Area,Stonehurst Park,NaN,0,
43985430,NaN,Lake Merritt Channel Park,Channel Park,Channel Park,4.3,3,
43985434,NaN,NaN,NaN,NaN,NaN,0,
43985476,NaN,Brookdale Park,Brookdale Park,NaN,4.1,192,
43985487,NaN,Sobrante Park,Sobrante Park,Sobrante Park,4.3,46,
43985539,NaN,César Chávez Park,César Chávez Park,Cesar Chavez Park,4,179,
43985587,244355,Knowland Park,Knowland Park,Knowland Park,4.7,1054,
43985596,1676033,Portview Park,Port View Park,NaN,4.4,308,
43985729,NaN,William D Wood Park,William D. Wood Park,William Wood Park,3.8,53,
43985866,1676027,North Oakland Regional Sports Center,North Oakland Regional Sports Center,Caldecott Field/North Oakland Regional Sports Center,4.2,69,
43985871,NaN,Central Reservoir Recreation Area,Central Reservoir Recreation Area,Central Reservoir Park,NaN,0,
43985924,NaN,César Chávez Park,NaN,Cesar Chavez Park,NaN,0,
49241125,NaN,Temescal Creek Park,Temescal Creek Park Playground,Temescal Creek Park,4.3,35,
52097011,NaN,Concordia Park,Concordia Park,Concordia Park,3.8,183,
54277605,NaN,Josie de la Cruz Park,Josie de la Cruz Park,Josie de la Cruz Park,3.9,177,
58755607,NaN,Chabot Recreation Center,Chabot Recreation Center,Chabot Park,4.3,19,
